name,style,sizes(1x/2x),source
ipod_1g,3d,500x500 / 1000x1000,ipod-1g.png
ipod_2g,3d,500x500 / 1000x1000,ipod-1g.png
ipod_3g,3d,500x500 / 1000x1000,ipod-3g.png
ipod_4g,3d,500x500 / 1000x1000,ipod-4g.png
ipod_classic_6_5g_black,flat,500x625 / 1000x1250,ipod-classic-6g-black@2x.png
ipod_classic_6_5g_silver,flat,500x625 / 1000x1250,ipod-classic-6g-silver@2x.png
ipod_classic_6g_black,flat,500x625 / 1000x1250,ipod-classic-6g-black@2x.png
ipod_classic_6g_silver,flat,500x625 / 1000x1250,ipod-classic-6g-silver@2x.png
ipod_classic_7g_black,flat,500x625 / 1000x1250,ipod-classic-7g-black@2x.png
ipod_classic_7g_silver,flat,500x625 / 1000x1250,ipod-classic-7g-silver@2x.png
ipod_mini_1g_blue,3d,500x500 / 1000x1000,ipod-mini-1g-blue.png
ipod_mini_1g_gold,3d,500x500 / 1000x1000,ipod-mini-1g-gold.png
ipod_mini_1g_green,3d,500x500 / 1000x1000,ipod-mini-1g-green.png
ipod_mini_1g_pink,3d,500x500 / 1000x1000,ipod-mini-1g-pink.png
ipod_mini_1g_silver,3d,500x500 / 1000x1000,ipod-mini-1g-silver.png
ipod_mini_2g_blue,3d,500x500 / 1000x1000,ipod-mini-1g-blue.png
ipod_mini_2g_green,3d,500x500 / 1000x1000,ipod-mini-1g-green.png
ipod_mini_2g_pink,3d,500x500 / 1000x1000,ipod-mini-1g-pink.png
ipod_mini_2g_silver,3d,500x500 / 1000x1000,ipod-mini-1g-silver.png
ipod_nano_1g_black,flat,500x625 / 1000x1250,ipod-nano-1g-black@2x.png
ipod_nano_1g_white,flat,500x625 / 1000x1250,ipod-nano-1g-white@2x.png
ipod_nano_2g_black,flat,500x625 / 1000x1250,ipod-nano-2g-black@2x.png
ipod_nano_2g_blue,flat,500x625 / 1000x1250,ipod-nano-2g-blue@2x.png
ipod_nano_2g_green,flat,500x625 / 1000x1250,ipod-nano-2g-green@2x.png
ipod_nano_2g_pink,flat,500x625 / 1000x1250,ipod-nano-2g-pink@2x.png
ipod_nano_2g_red,flat,500x625 / 1000x1250,ipod-nano-2g-red@2x.png
ipod_nano_2g_silver,flat,500x625 / 1000x1250,ipod-nano-2g-silver@2x.png
ipod_nano_3g_black,flat,500x625 / 1000x1250,ipod-nano-3g-black@2x.png
ipod_nano_3g_blue,flat,500x625 / 1000x1250,ipod-nano-3g-blue@2x.png
ipod_nano_3g_green,flat,500x625 / 1000x1250,ipod-nano-3g-green@2x.png
ipod_nano_3g_pink,flat,500x625 / 1000x1250,ipod-nano-3g-pink@2x.png
ipod_nano_3g_red,flat,500x625 / 1000x1250,ipod-nano-3g-red@2x.png
ipod_nano_3g_silver,flat,500x625 / 1000x1250,ipod-nano-3g-silver@2x.png
ipod_nano_4g_black,flat,500x625 / 1000x1250,ipod-nano-4g-black@2x.png
ipod_nano_4g_blue,flat,500x625 / 1000x1250,ipod-nano-4g-blue@2x.png
ipod_nano_4g_green,flat,500x625 / 1000x1250,ipod-nano-4g-green@2x.png
ipod_nano_4g_orange,flat,500x625 / 1000x1250,ipod-nano-4g-orange@2x.png
ipod_nano_4g_pink,flat,500x625 / 1000x1250,ipod-nano-4g-pink@2x.png
ipod_nano_4g_purple,flat,500x625 / 1000x1250,ipod-nano-4g-purple@2x.png
ipod_nano_4g_red,flat,500x625 / 1000x1250,ipod-nano-4g-red@2x.png
ipod_nano_4g_silver,flat,500x625 / 1000x1250,ipod-nano-4g-silver@2x.png
ipod_nano_4g_yellow,flat,500x625 / 1000x1250,ipod-nano-4g-yellow@2x.png
ipod_nano_5g_black,flat,500x625 / 1000x1250,ipod-nano-5g-black@2x.png
ipod_nano_5g_blue,flat,500x625 / 1000x1250,ipod-nano-5g-blue@2x.png
ipod_nano_5g_green,flat,500x625 / 1000x1250,ipod-nano-5g-green@2x.png
ipod_nano_5g_orange,flat,500x625 / 1000x1250,ipod-nano-5g-orange@2x.png
ipod_nano_5g_pink,flat,500x625 / 1000x1250,ipod-nano-5g-pink@2x.png
ipod_nano_5g_purple,flat,500x625 / 1000x1250,ipod-nano-5g-purple@2x.png
ipod_nano_5g_red,flat,500x625 / 1000x1250,ipod-nano-5g-red@2x.png
ipod_nano_5g_silver,flat,500x625 / 1000x1250,ipod-nano-5g-silver@2x.png
ipod_nano_5g_yellow,flat,500x625 / 1000x1250,ipod-nano-5g-yellow@2x.png
ipod_photo,3d,500x500 / 1000x1000,ipod-photo.png
ipod_shuffle_1g_white,3d,500x500 / 1000x1000,ipod-shuffle-1g-white.png
ipod_shuffle_2g_blue,flat,500x625 / 1000x1250,ipod-shuffle-2g-blue@2x.png
ipod_shuffle_2g_green,flat,500x625 / 1000x1250,ipod-shuffle-2g-green@2x.png
ipod_shuffle_2g_mint,flat,500x625 / 1000x1250,ipod-shuffle-2g-mint@2x.png
ipod_shuffle_2g_orange,flat,500x625 / 1000x1250,ipod-shuffle-2g-orange@2x.png
ipod_shuffle_2g_pink,flat,500x625 / 1000x1250,ipod-shuffle-2g-pink@2x.png
ipod_shuffle_2g_purple,flat,500x625 / 1000x1250,ipod-shuffle-2g-purple@2x.png
ipod_shuffle_2g_red,flat,500x625 / 1000x1250,ipod-shuffle-2g-red@2x.png
ipod_shuffle_2g_silver,flat,500x625 / 1000x1250,ipod-shuffle-2g-silver@2x.png
ipod_shuffle_2g_teal,flat,500x625 / 1000x1250,ipod-shuffle-2g-teal@2x.png
ipod_shuffle_3g_black,flat,500x625 / 1000x1250,ipod-shuffle-3g-black@2x.png
ipod_shuffle_3g_blue,flat,500x625 / 1000x1250,ipod-shuffle-3g-blue@2x.png
ipod_shuffle_3g_green,flat,500x625 / 1000x1250,ipod-shuffle-3g-green@2x.png
ipod_shuffle_3g_pink,flat,500x625 / 1000x1250,ipod-shuffle-3g-pink@2x.png
ipod_shuffle_3g_silver,flat,500x625 / 1000x1250,ipod-shuffle-3g-silver@2x.png
ipod_shuffle_3g_steel,flat,500x625 / 1000x1250,ipod-shuffle-3g-steel@2x.png
ipod_shuffle_4g_blue,flat,500x625 / 1000x1250,ipod-shuffle-4g-blue@2x.png
ipod_shuffle_4g_blue_late,flat,500x625 / 1000x1250,ipod-shuffle-4g-blue-late@2x.png
ipod_shuffle_4g_gold,flat,500x625 / 1000x1250,ipod-shuffle-4g-gold@2x.png
ipod_shuffle_4g_gold_late,flat,500x625 / 1000x1250,ipod-shuffle-4g-gold-late@2x.png
ipod_shuffle_4g_green,flat,500x625 / 1000x1250,ipod-shuffle-4g-green@2x.png
ipod_shuffle_4g_green_late,flat,500x625 / 1000x1250,ipod-shuffle-4g-green-late@2x.png
ipod_shuffle_4g_pink,flat,500x625 / 1000x1250,ipod-shuffle-4g-pink@2x.png
ipod_shuffle_4g_pink_late,flat,500x625 / 1000x1250,ipod-shuffle-4g-pink-late@2x.png
ipod_shuffle_4g_red,flat,500x625 / 1000x1250,ipod-shuffle-4g-red@2x.png
ipod_shuffle_4g_silver,flat,500x625 / 1000x1250,ipod-shuffle-4g-silver@2x.png
ipod_video_5_5g_black,flat,500x625 / 1000x1250,ipod-video-5g-black@2x.png
ipod_video_5_5g_u2,flat,500x625 / 1000x1250,ipod-video-5g-u2@2x.png
ipod_video_5_5g_white,flat,500x625 / 1000x1250,ipod-video-5g-white@2x.png
ipod_video_5g_black,flat,500x625 / 1000x1250,ipod-video-5g-black@2x.png
ipod_video_5g_u2,flat,500x625 / 1000x1250,ipod-video-5g-u2@2x.png
ipod_video_5g_white,flat,500x625 / 1000x1250,ipod-video-5g-white@2x.png
